pattern,offset
231092,6474413
252675,6474148
489635,6473452
538401,6473074
218917,6469722
896332,6469511
881817,6468658
484569,6467860
258675,6467258
670204,6467226
686652,6466294
785798,6465887
497264,6465021
313611,6463904
374073,6463085
008412,6461907
622602,6461595
976430,6460227
544055,6460054
916817,6457467
670653,6457339
763907,6455939
584694,6455547
044795,6455348
259653,6455329
062657,6455100
082745,6454987
190386,6454924
938211,6454097
529531,6453281
754218,6453006
597668,6452979
390662,6452268
540528,6451794
632694,6450572
648999,6449070
063052,6448951
067467,6448624
729427,6448360
363704,6448316
484572,6448209
020414,6447365
824987,6446909
802707,6446718
067227,6446308
261283,6444844
115647,6444210
326350,6443665
128003,6443573
278305,6443049
334660,6442320
014518,6442307
926059,6440066
572438,6440006
565235,6437713
151794,6437333
519354,6437119
212519,6437018
514332,6436719
821582,6435299
574104,6435261
560738,6434435
548211,6434109
692613,6433850
356002,6433719
029982,6433205
871514,6433048
364555,6432889
251142,6432838
881769,6431913
749176,6431297
531894,6428961
690874,6426635
305785,6426453
865143,6424736
721771,6424431
972788,6424036
110446,6423857
325996,6423285
565997,6422886
463870,6422258
335539,6422181
702475,6421334
961220,6421057
694953,6420776
433936,6419969
114125,6419537
301237,6419436
254223,6418740
778441,6418133
489562,6417477
821143,6415514
015780,6414161
233449,6412630
739159,6411071
693146,6409795
846740,6407467
564168,6407167
415358,6406897
757635,6405927
133343,6405272
387046,6403536
379876,6403486
574888,6403453
322275,6403196
782955,6403113
467752,6403036
877342,6402384
885344,6401738
200436,6401304
600551,6400387
128567,6398996
057263,6398541
761758,6398041
441824,6397262
543542,6397237
354573,6396490
869014,6396011
239023,6394866
853519,6394306
729886,6394244
858572,6393773
776082,6393279
378691,6391447
440010,6388992
651850,6387857
102306,6387049
017293,6386843
806660,6385235
003151,6384529
660604,6382824
122951,6382740
542022,6382554
175416,6379368
191709,6379075
274010,6378090
455864,6376985
397088,6376180
663138,6376120
744843,6375751
704951,6375109
434622,6374922
313588,6374391
163768,6373745
789596,6372823
500400,6372444
497268,6371588
628301,6371402
104513,6370184
002963,6369751
784951,6369535
535121,6369468
685255,6369173
099496,6368303
909924,6368247
855428,6368042
746560,6367804
361537,6367546
058574,6367059
617822,6366586
046588,6366555
200524,6366494
928289,6366360
471186,6365218
785559,6365124
014723,6362081
741790,6361839
638984,6361341
698098,6360726
288702,6360407
927970,6360219
087860,6359704
902249,6359216
515263,6359203
066641,6359124
232955,6358938
579692,6358933
505341,6358851
427793,6357316
974589,6356159
881959,6355536
722295,6355517
190680,6354826
117968,6354724
786166,6354204
732856,6354043
208042,6353929
935743,6353538
566322,6353005
425029,6352569
667189,6350624
610081,6350480
684044,6350426
338366,6350164
732600,6349905
885673,6349901
440375,6348831
673452,6348701
563711,6347300
115096,6346659
645636,6346593
084220,6345600
280306,6345384
773638,6342958
307106,6340564
575491,6340508
347156,6340059
901867,6339862
404900,6339126
499282,6337631
260317,6336709
961664,6336453
220590,6334990
657276,6334623
802713,6333285
992549,6333145
910799,6332534
171122,6332459
798517,6331827
967056,6331155
163860,6330108
648305,6329967
535161,6329737
154897,6329445
274780,6329360
321750,6329113
853784,6328270
392592,6327382
863780,6326490
801549,6326354
007427,6326240
658531,6325256
286620,6324838
075152,6324661
475963,6324354
903036,6324329
312109,6324227
729690,6324013
322224,6323148
232610,6322591
452709,6322453
618717,6321738
086943,6320769
933643,6319786
616933,6319783
880104,6319309
100216,6318405
882236,6318091
406608,6317851
907238,6316563
665160,6316405
855511,6315548
456858,6315450
207502,6315113
278311,6312369
486225,6311901
254388,6310740
853989,6310048
556855,6309754
237433,6309168
796900,6307841
266015,6306642
676138,6306310
571200,6305594
060795,6304945
387148,6303991
606347,6303973
001914,6303953
121628,6303781
670517,6303737
049518,6303662
087925,6303204
058998,6302573
891448,6301251
550852,6300617
284855,6300015
285521,6299771
240564,6299087
177219,6298815
235111,6297282
249735,6296435
506177,6296331
818627,6296215
737686,6296103
337447,6295262
513888,6294713
108452,6293055
514669,6292880
778099,6289979
795967,6289580
250922,6289046
646641,6288792
138886,6288244
820114,6288143
535180,6288081
300285,6287858
357433,6287488
616107,6287017
122290,6287009
028636,6286811
844190,6286557
935817,6286378
004335,6285313
819885,6285257
335089,6284647
984469,6284494
066599,6284417
651114,6283310
990709,6282860
644941,6282600
467348,6282517
434135,6282493
601745,6282370
717444,6282244
050239,6282017
549862,6281178
329356,6281107
079923,6280784
481646,6280581
860331,6280432
713260,6279090
644467,6278911
360239,6278696
955200,6278153
106836,6277628
670672,6277132
560928,6276674
140302,6276501
892214,6275941
839560,6275789
382235,6275551
540145,6275005
660759,6274158
740707,6273869
105818,6273712
660637,6273648
718916,6273514
666689,6273393
268750,6270875
324534,6270821
143260,6270603
781927,6270564
132483,6270050
821520,6269326
262319,6269269
853788,6268437
589086,6268405
790522,6267440
131208,6267254
608652,6266851
256468,6265623
308718,6265474
000320,6265370
283725,6264460
007311,6263929
061228,6263502
830073,6263322
705064,6263313
404279,6263180
046277,6262743
545164,6261081
030231,6260203
446711,6259901
623946,6259460
857303,6258872
138470,6258744
607666,6258608
591433,6258340
891631,6258053
594273,6257967
636370,6257460
976020,6256859
791349,6256674
983445,6255662
679872,6255292
453002,6255166
092969,6254492
229611,6254157
527382,6250873
108338,6250027
101803,6249942
743443,6249814
723845,6249389
288813,6246873
966159,6246372
473803,6245622
927320,6245134
933700,6244673
887020,6244586
056572,6243791
557397,6243467
377223,6243349
681314,6242903
004507,6241976
374822,6241315
181297,6240773
152994,6240604
503770,6240124
450377,6240123
992486,6240108
752275,6239778
808173,6239346
257981,6238828
713712,6238647
780672,6237359
785228,6237177
571015,6236994
759666,6236251
061889,6236160
746466,6235871
546033,6235770
964874,6235644
118186,6234935
